セクションID,セクション名,セクションステータス,セクション公開日時,レッスンID,レッスンパターン,レッスン名,予告,タグ,レッスンステータス,レッスン公開日時,インプットコード,インプットページ数,インプット_タイプ,インプット_説明文,インプット_画像,インプット_補足説明文,質問_質問文,質問_画像URL,質問_設問タイプ,質問_設問,質問_正解設定,質問_正解時簡易解説,質問_不正解時簡易解説,クイズコード,クイズページ数,クイズ_タイプ,クイズ_問題文,クイズ_画像1,クイズ_設問,クイズ_正解設定,クイズ_組み合わせ1,クイズ_組み合わせ2,クイズ_組み合わせ3,クイズ_組み合わせ4,クイズ_正解時簡易解説,クイズ_不正解時簡易解説,クイズ_リザルト解説
section_code,section_name,section_status,section_published_at,lesson_code,lesson_pattern,lesson_name,lesson_teaser,lesson_tags,lesson_status,lesson_published_at,input_code,input_page_no,input_type,input_body_text,input_image_url,input_supplement_text,input_question_text,input_question_image_url,input_question_type,input_question_choices,input_question_correct,input_correct_explanation,input_wrong_explanation,quiz_code,quiz_page_no,quiz_type,quiz_question_text,quiz_image_url,quiz_choices,quiz_correct,quiz_pair_1,quiz_pair_2,quiz_pair_3,quiz_pair_4,quiz_correct_explanation,quiz_wrong_explanation,quiz_result_explanationS2501020001,家計の把握,public,L2501020001,ウォームアップ,public,I2501020001,1,warmup,"これから家計の把握について学びます。
まずは基礎知識をクイズで確認してみましょう。",間違えても大丈夫。復習のチャンスです,,,,,Q2501020001,2_choice,家計管理の第一歩は収支の把握？,o;x,o,正解！収入と支出を把握することが、家計管理の基本です。何にいくら使っているか知ることで、改善点が見えてきますよ。
S2501020001,家計の把握,public,L2501020001,ウォームアップ,public,I2501020002,2,warmup,もう一問確認してみましょう。,,,,,,Q2501020002,2_choice,投資は家計に余裕がなくても始めるべき？,o;x,x,まず生活費と緊急資金を確保してから投資を始めましょう。余裕のない状態での投資は、精神的な負担が大きく、冷静な判断ができなくなる恐れがあります。
S2501020001,家計の把握,public,L2501020002,収入と支出の基本,public,I2501020003,1,input_quiz,"家計管理の第一歩は、毎月「入ってくるお金」と「出ていくお金」を把握することです。
給料、副業収入、年金などが収入。家賃、食費、光熱費などが支出です。",まずは大まかでOK。だんだん詳しくしていけます,家計管理で最初にすべきことは？,収支の把握;投資を始める,収支の把握,正解！まず収支を知ることが、すべての始まりです。,Q2501020003,2_choice,収入より支出が多い状態は健全？,o;x,x,収入より支出が多いと赤字になり、貯蓄ができません。継続すると借金が増える可能性もあります。まず支出を見直して、収入の範囲内で生活することが大切です。
S2501020001,家計の把握,public,L2501020002,収入と支出の基本,public,I2501020004,2,input_quiz,"収入から支出を引いた金額が「余剰資金」です。
これがプラスなら貯蓄や投資に回せます。マイナスなら支出の見直しが必要です。",余剰資金を増やすことが家計改善の鍵,余剰資金とは何？,収入から支出を引いた金額;給料の全額,収入から支出を引いた金額,正解！この余剰資金が、将来の資産形成の元になります。,,,,,,
S2501020001,家計の把握,public,L2501020003,固定費と変動費とは,public,I2501020005,1,input_quiz,"支出は「固定費」と「変動費」に分けられます。
固定費は毎月ほぼ同じ金額（家賃、保険料、通信費など）。変動費は月ごとに変わる費用（食費、娯楽費など）です。",固定費の見直しが節約の近道,毎月ほぼ同じ金額の支出を何という？,固定費;変動費,固定費,正解！固定費を見直すと、継続的な節約効果が得られます。,Q2501020004,2_choice,食費は固定費に分類される？,o;x,x,食費は月によって変わるため、変動費に分類されます。外食が多い月は高く、自炊が多い月は安くなりますよね。変動費は意識次第で調整しやすい支出です。
S2501020001,家計の把握,public,L2501020003,固定費と変動費とは,public,I2501020006,2,input_quiz,"固定費を下げると、毎月自動的に節約できます。
格安スマホへの乗り換え、不要なサブスクの解約などが効果的です。",一度見直せば継続的に効果が出ます,固定費削減の効果は？,継続的に節約できる;一時的な効果だけ,継続的に節約できる,その通り！固定費削減は、長期的な家計改善につながります。,,,,,,
S2501020001,家計の把握,public,L2501020004,予算管理のコツ,public,I2501020007,1,input_quiz,"予算管理とは、費目ごとに「今月はここまで」と上限を決めること。
食費3万円、娯楽費1万円など、使いすぎを防ぐ目安を設定します。",予算は無理のない範囲で設定しましょう,予算管理の目的は？,使いすぎを防ぐ;収入を増やす,使いすぎを防ぐ,正解！予算を決めることで、計画的にお金を使えます。,Q2501020005,2_choice,予算は一度決めたら絶対に変えてはいけない？,o;x,x,予算は柔軟に見直してOKです。生活環境が変われば、必要な金額も変わります。無理な予算で我慢しすぎると続きません。定期的に見直して、実情に合わせましょう。
S2501020001,家計の把握,public,L2501020004,予算管理のコツ,public,I2501020008,2,input_quiz,"予算を守るコツは、家計簿アプリを使うこと。
自動で支出を記録してくれるので、手間なく管理できます。",最初は簡単な方法から始めましょう,家計簿アプリの利点は？,自動で支出を記録;収入が増える,自動で支出を記録,正解！アプリを使えば、楽に家計管理が続けられます。,,,,,,
S2501020001,家計の把握,public,L2501020005,セクションチャレンジ,public,I2501020009,1,challenge,"ここまでの内容を復習しましょう。
家計管理の基本をしっかり理解できているか確認してください。",復習は学びを深めるチャンスです,家計管理で最も大切なことは？,収支を把握すること;高額な買い物をすること,収支を把握すること,正解！収支を知ることが、すべての基本です。,Q2501020006,2_choice,固定費の見直しは効果が持続する？,o;x,o,その通り！固定費を一度下げれば、毎月自動的に節約できます。通信費、保険料、サブスクなど、見直せるものがないか確認してみましょう。
S2501020001,家計の把握,public,L2501020005,セクションチャレンジ,public,I2501020010,2,challenge,最後の確認問題です。,,予算管理の目的として正しいのは？,使いすぎを防ぐ;収入を2倍にする,使いすぎを防ぐ,正解！予算を決めることで、計画的な支出が実現します。,Q2501020007,2_choice,家計簿アプリは管理を楽にする？,o;x,o,正解です！アプリなら自動で支出を記録してくれるので、手間が減って続けやすくなります。まずは簡単な方法から始めて、家計管理の習慣を作りましょう。お疲れさまでした！
S2501020002,投資にまわせるお金,public,L2501020006,生活防衛資金とは,public,I2501020011,1,input_quiz,"生活防衛資金とは、病気やケガ、失業など「もしもの時」に生活を守るための貯え。
投資を始める前に、必ず確保しておきましょう。",安心の土台を作ることが第一歩,生活防衛資金の役割は？,緊急時の備え;投資資金,緊急時の備え,正解！もしもの時に慌てないための大切な備えです。,Q2501020008,2_choice,生活防衛資金がなくても投資していい？,o;x,x,生活防衛資金がないまま投資を始めると、急な出費で投資資金を取り崩すことになり、最悪の場合は損失を確定させてしまいます。まず備えを作りましょう。
S2501020002,投資にまわせるお金,public,L2501020006,生活防衛資金とは,public,I2501020012,2,input_quiz,"生活防衛資金は「すぐに使える形」で持つことが大切。
普通預金や定期預金など、換金性の高い方法で確保しましょう。",投資に回すのはこの資金を除いた後,生活防衛資金の保管方法として適切なのは？,普通預金;株式投資,普通預金,正解！すぐに引き出せる形で持つことが重要です。,,,,,,
S2501020002,投資にまわせるお金,public,L2501020007,防衛資金はいくら必要,public,I2501020013,1,input_quiz,"生活防衛資金の目安は「生活費の3〜6ヶ月分」。
月20万円で生活しているなら、60〜120万円が目安です。",働き方や家族構成によって調整しましょう,生活防衛資金の一般的な目安は？,生活費の3〜6ヶ月分;年収の全額,生活費の3〜6ヶ月分,正解！これが基本の目安です。,Q2501020009,2_choice,フリーランスは会社員より多めに備えるべき？,o;x,o,その通りです！フリーランスは収入が不安定なため、会社員より多め（6ヶ月〜1年分）の生活防衛資金があると安心です。雇用保険もないので、備えが重要です。
S2501020002,投資にまわせるお金,public,L2501020007,防衛資金はいくら必要,public,I2501020014,2,input_quiz,"家族がいる場合や、住宅ローンがある場合は、多めに確保すると安心です。
自分の状況に合わせて、目安を調整しましょう。",不安があるなら多めに持つのもOK,生活防衛資金の金額は状況で変える？,はい;いいえ,はい,正解！自分の状況に合わせて調整することが大切です。,,,,,,
S2501020002,投資にまわせるお金,public,L2501020008,投資余力の計算方法,public,I2501020015,1,input_quiz,"投資に回せるお金は「収入 − 生活費 − 生活防衛資金への積立」で計算します。
毎月の余剰資金から、無理のない金額を投資に回しましょう。",少額でも続けることが大切,投資余力の計算式で正しいのは？,収入−生活費−貯蓄;収入の全額,収入−生活費−貯蓄,正解！生活を守った上で、余った分を投資に回します。,Q2501020010,2_choice,投資は大金がないと始められない？,o;x,x,投資は少額からでも始められます。月3000円や5000円でも、積立投資なら十分です。大切なのは金額ではなく、続けることです。
S2501020002,投資にまわせるお金,public,L2501020008,投資余力の計算方法,public,I2501020016,2,input_quiz,"投資額は無理のない範囲で設定しましょう。
「なくなっても生活に支障がない金額」が基本です。",ライフステージに応じて見直しもOK,投資額の決め方で正しいのは？,なくなっても大丈夫な金額;給料の全額,なくなっても大丈夫な金額,正解！無理のない範囲で続けることが成功の鍵です。,,,,,,
S2501020002,投資にまわせるお金,public,L2501020009,セクションチャレンジ,public,I2501020017,1,challenge,"セクションの内容を復習しましょう。
生活防衛資金と投資余力について、しっかり理解できているか確認してください。",自分の家計に当てはめて考えてみましょう,投資を始める前に必ず確保すべきものは？,生活防衛資金;高級な腕時計,生活防衛資金,正解！まず緊急時の備えを作ることが大切です。,Q2501020011,2_choice,生活防衛資金の目安は生活費の3〜6ヶ月分？,o;x,o,その通りです！この金額があれば、急な失業や病気にも対応できます。安心して投資を続けるための土台になりますよ。
S2501020002,投資にまわせるお金,public,L2501020009,セクションチャレンジ,public,I2501020018,2,challenge,最後の確認問題です。,,投資に回すべき金額として正しいのは？,余裕資金;生活費全部,余裕資金,正解！生活を守った上で、余った分を投資に回しましょう。,Q2501020012,2_choice,少額でも積立投資は有効？,o;x,o,正解です！月3000円でも、10年続ければ立派な資産に育ちます。大切なのは金額ではなく、継続することです。無理のない範囲で始めましょう。お疲れさまでした！
S2501020003,投資のゴール設定,public,L2501020010,目標設定の重要性,public,I2501020019,1,input_quiz,"投資には「何のために」「いつまでに」「いくら」という3つの軸が必要です。
目標が明確だと、途中で迷わず続けられます。",漠然と始めるより、目標があると強い,投資の目標設定に必要な3つの軸は？,目的・期限・金額;銘柄・タイミング・運,目的・期限・金額,正解！この3つを決めると、計画が明確になります。,Q2501020013,2_choice,目標がないまま投資を始めても大丈夫？,o;x,x,目標がないと、途中で不安になったり、目的のない売買を繰り返したりしがちです。「老後資金のために20年で1000万円」など、明確な目標があると続けやすくなります。
S2501020003,投資のゴール設定,public,L2501020010,目標設定の重要性,public,I2501020020,2,input_quiz,"目標の例：「10年後の子どもの大学資金として300万円を作る」
「30年後の老後資金として2000万円を用意する」など、具体的に決めましょう。",途中で変わってもOK。見直しながら進みましょう,投資目標の設定で大切なことは？,具体的に決める;曖昧にしておく,具体的に決める,正解！具体的な目標が、モチベーションを保つ秘訣です。,,,,,,
S2501020003,投資のゴール設定,public,L2501020011,利回りとは,public,I2501020021,1,input_quiz,"利回りとは「投資したお金が1年でどれくらい増えたか」を示す割合です。
年利3%なら、100万円が1年で103万円になる計算です。",利回りが高いほど、リスクも高い傾向,年利3%の投資で100万円は1年後いくら？,103万円;130万円,103万円,正解！3%の成長を理解できていますね。,Q2501020014,2_choice,利回りが高い投資は必ず安全？,o;x,x,利回りが高い投資は、それだけリスクも高い傾向があります。高いリターンを狙うほど、値動きも大きくなり、損失の可能性も増えます。バランスが大切です。
S2501020003,投資のゴール設定,public,L2501020011,利回りとは,public,I2501020022,2,input_quiz,"投資信託の平均的な利回りは年3〜5%程度。
無理に高い利回りを狙わず、長期でコツコツ増やす方が安全です。",短期の高利回りより、長期の安定が大切,投資信託の平均利回りはどれくらい？,年3〜5%;年50%,年3〜5%,正解！現実的な目標を持つことが成功の鍵です。,,,,,,
S2501020003,投資のゴール設定,public,L2501020012,セクションチャレンジ,public,I2501020023,1,challenge,"セクションの内容を復習しましょう。
投資のゴール設定と利回りについて、理解できているか確認してください。",自分の目標を考えながら復習しましょう,投資目標に必要な要素として正しいのは？,目的・期限・金額;運と直感,目的・期限・金額,正解！この3つが揃えば、計画的に投資できます。,Q2501020015,2_choice,利回りは投資の成績を示す指標？,o;x,o,その通り！利回りを見れば、投資がどれくらい成長したかが分かります。ただし、過去の利回りが未来も続く保証はありません。参考にしながら、慎重に判断しましょう。
S2501020003,投資のゴール設定,public,L2501020012,セクションチャレンジ,public,I2501020024,2,challenge,最後の確認問題です。,,高い利回りの投資は必ず安全？,いいえ;はい,いいえ,正解！高利回りには高リスクが伴います。,Q2501020016,2_choice,投資は明確な目標があると続けやすい？,o;x,o,正解です！「何のために」「いつまでに」「いくら」という目標があれば、迷わず続けられます。人生の大切なイベントに向けて、今日から準備を始めましょう。お疲れさまでした！
